repo_name,file_name,smell_code,type,level,year,file_size,loc,owner_type,language,size,base_image_full,base_image
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3014,DL,warning,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3059,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL4006,DL,warning,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3059,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL4006,DL,warning,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3059,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3009,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3008,DL,warning,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3015,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3059,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3008,DL,warning,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3059,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3015,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3008,DL,warning,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3015,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3059,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
