#,repo,file_path,commit_url,description,category,affected_instructions,
291,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/9de399cf9639bfdae370a432c6f017f74cac1178,"modify base image, change debugging steps","UBI,UBS,RBS","FROM,RUN,RUN",
292,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/e7c545986b96231abe2bd89ac37e1eb3ca70ce91,"modify base image, change debugging steps","UBI,UBS,ABS","FROM,RUN,RUN",
293,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/856670f5266a1434f9f49ba32e475834206fb292,"add dockerfile, add comments","AD,MC",*,
294,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/bdfcdb9ffa14e4952b8101db73ddf15b7b5dc71b,remove dep installation step,RBS,RUN,
295,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/d60cc7ca209b19b6b1f2f10667ad8a0d7da8ba35,refactor env variables (OS image),UBS,"ARG,ENV",
296,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/f258c8a66cd9a651c6dc9a5ef98752c5510a25e9,remove comments,MC,,
297,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/7b5b7e6901ed8a53a40aabd53393df01fd790132,remove dep installation step,RBS,RUN,
298,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/98ca4a42674a3073c3f281fb71e2d2d90a321638,add builddeps installation step (via script),ABS,RUN,
299,syslog-ng/syslog-ng,dbld/images/debian-sid.dockerfile,https://github.com/syslog-ng/syslog-ng/commit/38f6cdfc3e0e5d9f12d69c0867a88b8e609977d9,add dockerfile,AD,*,
300,bbxyard/bbxyard,yard/toolkits/docker/df/dashboard/netdata-centos.dockerfile,https://github.com/bbxyard/bbxyard/commit/bb24daa386ae51b67a08fdbfc5680d34ea15b07d,"add script that sets up the environement, comment instruction, update CMD instruction","UBS,MC,ABS","RUN,ENTRYPOINT,CMD",
301,bbxyard/bbxyard,yard/toolkits/docker/df/dashboard/netdata-centos.dockerfile,https://github.com/bbxyard/bbxyard/commit/f7c5e0bb164c65d5a83fba40532f19e0131fafb3,add dockerfile,AD,*,
302,camunda-consulting/camunda-7-code-examples,snippets/camunda-optimize/sso/optimize-keycloak/keycloak-proxy/Dockerfile,https://github.com/camunda-consulting/camunda-7-code-examples/commit/88fe63cb017e0b6c6c81056805db17c93bc68db5,add dockerfile,AD,*,
303,clementine-player/Buildbot,master/Dockerfile,https://github.com/clementine-player/Buildbot/commit/c44fe133d423674e5cb525a716b689005ef93699,"add dependency, downgrade older dependency",UBS,RUN,
304,clementine-player/Buildbot,master/Dockerfile,https://github.com/clementine-player/Buildbot/commit/f6ea9f7ed0497e9de5aaa2419bf52d41d0d8a3b3,"remove dependency, version bump other dep",UBS,RUN,
305,clementine-player/Buildbot,master/Dockerfile,https://github.com/clementine-player/Buildbot/commit/93dc882c436c16e453de2b708439a60a01490274,version pin dependency,UBS,RUN,
306,clementine-player/Buildbot,master/Dockerfile,https://github.com/clementine-player/Buildbot/commit/207dabad19ed01b978ea6677ef3c4e76e067ffcc,rename dockerfile,RD,,
307,openedx/configuration,docker/build/devpi/Dockerfile,https://github.com/openedx/configuration/commit/d94de9db958ebe41058c40b492db887fb6d3bd15,version bump dependencies,UBS,"ARG,ARG,ARG",
308,openedx/configuration,docker/build/devpi/Dockerfile,https://github.com/openedx/configuration/commit/68bebfcf55bc5211f91359c0afd990836ee30b57,update base image,UBI,FROM,
309,openedx/configuration,docker/build/devpi/Dockerfile,https://github.com/openedx/configuration/commit/59ef0d5c6b787a54723f63ba3888328b715c11e4,replace MAINTAINER with LABEL ,"RBS,ABS","MAINTAINER,LABEL",
310,openedx/configuration,docker/build/devpi/Dockerfile,https://github.com/openedx/configuration/commit/ed8f34eccc3efb4d6cbbb399be923404a4f42469,rename config yaml file (merge multiple config files),"UBS,R",COPY,
311,openedx/configuration,docker/build/devpi/Dockerfile,https://github.com/openedx/configuration/commit/9663401a8839f02f4bf0134f0d6f08ab684af608,"refactor, add base image version as build argument","ABS,UBS","FROM,ARG",
312,openedx/configuration,docker/build/devpi/Dockerfile,https://github.com/openedx/configuration/commit/388fb907ff0522de5b11c4fcaf3f09384f28a577,add dockerfile,AD,*,
