repo_name,smell_count,year,file_size,loc,owner_type,language,size,base_image_full,base_image
ParikhKadam/retdec,7,2022,1539,39,User,C++,33468,ubuntu:focal,ubuntu
ParkSeoJoon2005/TheAurora,2,2021,1707,64,User,Python,5084,python:3.8.5-slim-buster,python
ParleyHub/Apollo,3,2021,443,17,Organization,TypeScript,1511,node:16.6.1-alpine,node
PasakonPJ/Lab12-Frontend,0,2021,293,10,User,Vue,330,nginx:stable-alpine,nginx
PasseiDireto/gh-runner,7,2022,1700,39,Organization,Dockerfile,204,nestybox/ubuntu-focal-systemd-docker,nestybox/ubuntu-focal-systemd-docker
Passw/ilius-pyglossary,4,2022,265,6,User,Python,8080,bitnami/minideb,bitnami/minideb
PatMyron/cfn-python-lint,5,2020,111,5,User,Python,117910,python:3.8-alpine,python
PatrIoT-Framework/virtual-smart-home-plus,1,2021,201,4,Organization,Java,56,openjdk:11,openjdk
Patrick5455/carepay-etl-task,4,2021,187,7,User,Python,15009,python:3.8,python
PatrickCmd/oclapi2,12,2021,472,18,User,None,15273,python:3.8.3,python
PatrickWWork/docs,4,2019,205,9,User,HTML,53346,jekyll/jekyll,jekyll/jekyll
PattemRamesh/my-app,0,2019,118,2,User,Java,182,tomcat:8,tomcat
PattemRamesh/myweb,0,2019,163,2,User,Java,1588,tomcat:8.0.20-jre8,tomcat
Paul-rk-cruz/HRV_Pipeline,12,2021,1848,29,User,Nextflow,221070,ubuntu:16.04,ubuntu
PauloJunior5/sistema-base,7,2021,257,6,User,Blade,19495,php:7.3-apache-stretch,php
PavanAnanthSharma/go-ethereum,5,2021,723,16,User,Go,174272,alpine:latest,alpine
Paveldub/photo-mvp,1,2021,91,6,User,TypeScript,73169,node:16.9.1,node
PawelPetrusevich/FinanceManager,0,2021,1201,22,User,C#,603,base,base
PeacefulScience/analytics,6,2021,175,5,Organization,Python,2071,ubuntu:latest,ubuntu
PediatricOpenTargets/OpenPedCan-analysis,24,2022,12232,270,Organization,HTML,9794719,rocker/tidyverse:3.6.0,rocker/tidyverse
PejmanMoradi/hello-world,1,2020,134,3,User,Java,60,tomcat:8-jre8,tomcat
PelionIoT/manifest-lmp-pelion-edge,6,2021,1717,37,Organization,Shell,1798,ubuntu:20.04,ubuntu
PennState/tf-build-harness,10,2021,3066,46,Organization,Dockerfile,67,alpine:latest,alpine
Pennsieve/pennsieve-api,3,2021,264,7,Organization,Scala,2384,pennsieve/sbt:1.2.3,pennsieve/sbt
PennyDreadfulMTG/Penny-Dreadful-Tools,2,2021,812,20,Organization,Python,47652,nikolaik/python-nodejs:python3.8-nodejs12,nikolaik/python-nodejs
PerchunPak/PingerBot,9,2022,1636,42,User,Python,1239,additional-steps-${dialect},additional-steps-${dialect}
Pericles001/javascript-functions,1,2019,187,9,User,JavaScript,328,node:12.7-alpine,node
Persona-Product/clone-backend-graphql,0,2021,1089,10,User,TypeScript,264,node:14.15.1,node
PesiTheWizard/townsquare,1,2020,214,9,User,JavaScript,2981,node:latest,node
Pesonet1/geoserver_docker_template,2,2021,317,4,User,Scheme,3564,kartoza/geoserver:2.19.0,kartoza/geoserver
Petap0w/ReactMap,6,2021,631,10,User,JavaScript,23107,node:12-alpine,node
Phalanx-Ai/ex-pop3-attachment,5,2020,228,8,Organization,Python,25,quay.io/keboola/docker-custom-python:latest,quay.io/keboola/docker-custom-python
PhilipGough/prometheus-alertmanager,1,2019,714,18,User,None,40159,quay.io/prometheus/busybox-${OS}-${ARCH}:latest,quay.io/prometheus/busybox-${OS}-${ARCH}
PhilipeRLeal/libpysal,0,2019,37,2,User,Python,72949,sjsrey/pysaldev:2.2,sjsrey/pysaldev
PhilippMatthes/diplom,2,2021,959,34,User,Jupyter Notebook,97586,scratch,scratch
Phuks-co/throat,6,2021,1373,30,Organization,Python,10012,python:3.7-slim-buster,python
Pickeat/web-client,0,2021,707,19,Organization,JavaScript,6495,nginx:1.17.8-alpine,nginx
Pieter-JanRobrecht/qmk_firmware,2,2019,101,5,User,C,162993,qmkfm/base_container,qmkfm/base_container
Pilchie/Snakes,0,2022,764,17,User,C#,400,base,base
PinkDiamond1/web,56,2021,3189,62,User,None,1080927,ubuntu:18.04,ubuntu
Piotr-Zielinski-PZ/recipe-app-api,12,2021,560,18,User,Python,344,python:3.7-alpine,python
PiotrIwanek/FamiliaNETFront,2,2021,132,7,User,TypeScript,1299,node:14.16.0-alpine,node
PiotrIwanek/FamiliaNetApplication.java,1,2021,158,4,User,Java,40784,openjdk:11,openjdk
Pirayya/joel-bot,4,2022,443,14,User,Rust,191,debian:buster,debian
PiwikPRO/PPMS-PublicDocs,2,2019,584,9,Organization,CSS,6369,python:3.7.4-alpine3.10,python
Pixboost/transformimgs,6,2021,4531,118,Organization,Go,12753,dpokidov/imagemagick:7.1.0-10-buster,dpokidov/imagemagick
PixelExperience/wiki,5,2021,247,9,Organization,SCSS,101964,docker.io/ruby:2.4,docker.io/ruby
Pixilib/GaelO,27,2022,2156,56,Organization,PHP,12876,php:7.4.19-apache,php
PlaceOS/rest-api,2,2022,2532,59,Organization,Crystal,1078,scratch,scratch
Planteome/django_curate,1,2021,189,8,Organization,Python,2642,python:3.6,python
Platoniq/decidim-catencomu,0,2020,28,1,Organization,Ruby,2666,decidim/decidim:0.21.0,decidim/decidim
Platoniq/decidim-coactuem,0,2021,28,1,Organization,Ruby,1168,decidim/decidim:0.23.1,decidim/decidim
Platoniq/decidim-getxo,0,2020,28,1,Organization,Ruby,1081,decidim/decidim:0.21.0,decidim/decidim
PleaseInsertNameHere/PowerNukkit,0,2021,1290,22,User,Java,177140,openjdk:8-jre-slim,openjdk
PluginAndPartners/cart-magento2,17,2021,1961,28,Organization,PHP,7398,php:7.3-apache,php
PluribusDigital/pluribusdigital-com,1,2020,212,7,Organization,HTML,10367,jekyll/jekyll,jekyll/jekyll
PlutoVR/MAIT,1,2020,410,8,Organization,JavaScript,8627,node:buster,node
Pocket/firefox-android-home-recommendations,2,2022,351,10,Organization,TypeScript,1395,node:16-bullseye-slim@sha256:dc275834dc95a991cfb8fb85dcfb29f41bcaeb3037d929153931582f77b00fb2,node
PolicarpoDi/MLops-Deploy-Alura,1,2021,704,12,User,Jupyter Notebook,45,python:3.8-slim,python
PolicyEngine/policyengine-uk,5,2021,780,8,Organization,Python,15610,gcr.io/google-appengine/python,gcr.io/google-appengine/python
PolideaInternal/airflow,6,2021,20568,323,Organization,Python,169542,${PYTHON_BASE_IMAGE},${PYTHON_BASE_IMAGE}
PolisanTheEasyNick/Telegram-UserBot,1,2020,366,6,User,Python,208926,olegpolisan/tg_userbot,olegpolisan/tg_userbot
PolymathNetwork/polymesh-subquery,4,2022,573,12,Organization,TypeScript,2637,onfinality/subql-node:v0.19.2,onfinality/subql-node
PomeloFruit/ECE444-F2021-Lab3,6,2021,251,8,User,Python,27372,python:3.9-slim,python
Ponmander/papermario,2,2021,223,8,User,Assembly,385889,ubuntu:20.04,ubuntu
PoolC/Haribo,0,2021,148,5,Organization,JavaScript,1244,nginx:1.19.8,nginx
PoolC/Javaccino,1,2021,135,4,Organization,Java,1059,openjdk:11-jdk-slim,openjdk
PopulateTools/gobierto,4,2021,124,4,Organization,Ruby,42756,ruby:2.7.4,ruby
Poryyyyyy1386/social-analyzer,2,2021,232,9,User,JavaScript,62866,node:14.15.3-alpine3.12,node
PostHog/posthog,1,2021,21,1,Organization,TypeScript,145456,,
PostHog/posthog-foss,1,2021,21,1,Organization,TypeScript,40302,,
PostmanSpat/node-binance-trader,0,2021,905,17,User,TypeScript,9524,node:14.16.1-alpine3.13@sha256:7021600941a9caa072c592b6a89cec80e46cb341d934f1868220f5786f236f60,node
Potapy4/angular-cli,0,2019,36,2,User,TypeScript,75870,node:10.12,node
Potato-Masher/tgstation,12,2021,2460,61,User,DM,2221877,byond,byond
PowerOlive/go-ethereum,6,2022,889,19,User,Go,179011,alpine:latest,alpine
PowerOlive/netdata,1,2020,29,1,User,C,68469,,
PowerVS-Actions/delete-ocp-cluster-resources,0,2021,339,11,Organization,Shell,35,quay.io/powercloud/powervs-container-host:multi-arch,quay.io/powercloud/powervs-container-host
PoweredByPorridge/qmk_firmware,2,2021,100,4,User,C,213104,qmkfm/qmk_cli,qmkfm/qmk_cli
PrairieLearn/PrairieLearn,5,2022,1409,23,Organization,JavaScript,89607,prairielearn/plbase,prairielearn/plbase
Prakashsinha932/docs,2,2021,2883,47,User,None,610137,production,production
