repo_name,file_name,smell_count,year,file_size,loc,owner_type,language,size,base_image_full,base_image
KengoTODA/findbugs-slf4j,KengoTODA/findbugs-slf4j/sonar-pluginDockerfile,1,2019,642,5,User,Java,757,sonarqube:7.9-community,sonarqube
KnpLabs/Gaufrette,KnpLabs/Gaufrette/dockerftpDockerfile,2,2019,174,2,Organization,PHP,2226,stilliard/pure-ftpd,stilliard/pure-ftpd
KnpLabs/Gaufrette,KnpLabs/Gaufrette/dockerphpDockerfile,5,2019,2217,68,Organization,PHP,2226,php:7.3-alpine,php
Komodo/KomodoEdit,Komodo/KomodoEdit/utildockerDockerfile,18,2019,2179,26,Organization,Python,501366,,
Kozea/Multicorn,Kozea/Multicorn/dockerpy2-10Dockerfile,3,2019,292,13,Organization,Python,6110,postgres:10,postgres
Kozea/Multicorn,Kozea/Multicorn/dockerpy2-11Dockerfile,3,2019,292,13,Organization,Python,6110,postgres:11,postgres
Kozea/Multicorn,Kozea/Multicorn/dockerpy2-12Dockerfile,3,2019,266,12,Organization,Python,6110,postgres:12,postgres
Kozea/Multicorn,Kozea/Multicorn/dockerpy2-9.6Dockerfile,3,2019,264,12,Organization,Python,6110,postgres:9,postgres
Kozea/Multicorn,Kozea/Multicorn/dockerpy3-10Dockerfile,3,2019,294,13,Organization,Python,6110,postgres:10,postgres
Kozea/Multicorn,Kozea/Multicorn/dockerpy3-11Dockerfile,3,2019,294,13,Organization,Python,6110,postgres:11,postgres
Kozea/Multicorn,Kozea/Multicorn/dockerpy3-12Dockerfile,3,2019,267,12,Organization,Python,6110,postgres:12,postgres
Kozea/Multicorn,Kozea/Multicorn/dockerpy3-9.6Dockerfile,3,2019,296,13,Organization,Python,6110,postgres:9,postgres
Kronuz/Xapiand,Kronuz/Xapiand/contribdockerxapiandDockerfile,8,2019,1757,37,User,C++,40133,alpine:3.9,alpine
LibraryOfCongress/chronam,LibraryOfCongress/chronam/solrDockerfile,6,2019,1381,22,Organization,Python,10273,openjdk:11,openjdk
MOBle/GWFrames,MOBle/GWFrames/dockerDockerfile,5,2019,748,13,User,Jupyter Notebook,15995,continuumio/miniconda2,continuumio/miniconda2
MSPARP/newparp,MSPARP/newparp/Dockerfile,6,2019,595,10,Organization,Python,10424,ubuntu:18.04,ubuntu
MapStory/mapstory,MapStory/mapstory/dockernginxDockerfile,2,2019,1580,34,Organization,Python,34020,nginx:1.15-alpine,nginx
MapStory/mapstory,MapStory/mapstory/dockersauce-connectDockerfile,3,2019,622,16,Organization,Python,34020,bitnami/minideb:stretch,bitnami/minideb
MattDevo/Coreboot,MattDevo/Coreboot/utildockerdoc.coreboot.orgDockerfile,2,2019,556,14,User,C,173019,alpine:3.8,alpine
MitchDenny/Palmer,MitchDenny/Palmer/.devcontainerDockerfile,11,2019,840,9,User,C#,526,mcr.microsoft.com/dotnet/core/sdk:latest,mcr.microsoft.com/dotnet/core/sdk
NCPP/ocgis,NCPP/ocgis/Dockerfile,11,2019,886,15,Organization,Python,12595,continuumio/miniconda3,continuumio/miniconda3
NREL/api-umbrella,NREL/api-umbrella/dockerDockerfile,3,2019,563,7,Organization,Ruby,29344,debian:stretch,debian
NeuroSynth/neurosynth-web,NeuroSynth/neurosynth-web/Dockerfile,15,2019,1269,14,Organization,JavaScript,54550,ubuntu:18.04,ubuntu
Noosfero/noosfero,Noosfero/noosfero/configdockerciDockerfile,10,2019,515,11,Organization,JavaScript,136338,ruby:2.3-stretch,ruby
