repo_name,year,file_size,loc,owner_type,language,size,base_image_full,base_image
bobtomist/atomist-docker-tutorial,2021,133,7,User,Dockerfile,15,node:14-buster-slim,node
Liutos/nest,2021,412,10,User,Python,374,python:3.8,python
dargmuesli/trapparty,2021,2934,53,User,Vue,8283,node:16.13.0-buster-slim@sha256:9ec1ff69c844f2de3a6a2180cd49ca75797d9f2a0fc52bb33c8a672fd0fe7e18,node
dargmuesli/creal_strapi,2021,408,8,User,JavaScript,4556,strapi/base:12-alpine@sha256:d91a598b735cfd19eb440e344389f575de9a92e593ab00b86976fc374e0fe96d,strapi/base
dargmuesli/creal,2021,2787,52,User,Vue,12845,node:16.13.0-buster-slim@sha256:9ec1ff69c844f2de3a6a2180cd49ca75797d9f2a0fc52bb33c8a672fd0fe7e18,node
Shiba-You/book_board,2021,65,3,User,JavaScript,1572,node:14.17.6,node
GuillaumeFalourd/useful-actions,2021,149,4,User,Dockerfile,643,alpine:3.10,alpine
hubert-deriv/binary-static,2019,106,3,User,JavaScript,2458145,nginx:alpine,nginx
Granulate/gprofiler,2021,5168,71,Organization,Python,717,ubuntu${GPROFILER_BUILDER_UBUNTU},ubuntu${GPROFILER_BUILDER_UBUNTU}
Gauravtalreja1/robottelo,2020,458,10,User,Python,30165,fedora,fedora
telegraphic/pygdsm,2020,202,11,User,Python,941,python:2.7,python
prvsantos/conversao-peso,2021,420,13,User,C#,684,mcr.microsoft.com/dotnet/aspnet:5.0,mcr.microsoft.com/dotnet/aspnet
anfelo/chillhacks,2021,165,9,User,Vue,786,node:14,node
anfelo/chillhacks_platform,2021,422,7,User,Go,91,golang:1.17,golang
lxbndr/swift-build,2019,1455,13,User,CMake,2455,microsoft/dotnet-framework:4.7.1,microsoft/dotnet-framework
web-platform-tests/wpt.fyi,2020,1881,29,Organization,Go,25278,golang:1.14-buster,golang
RightlyGroup/compliant-social-app-django,2019,163,4,Organization,None,2570,themattrix/tox-base,themattrix/tox-base
TheThingsNetwork/lorawan-stack,2021,1480,27,Organization,Go,114962,alpine:3.12,alpine
FireDiscordBot/bot,2021,784,28,Organization,TypeScript,65794,node:14-alpine,node
fbalicchia/keda,2021,1020,22,User,Go,15853,gcr.io/distroless/static:nonroot,gcr.io/distroless/static
Ciavarella/bookshelf,2021,96,5,User,None,4361,node:16,node
Duckoi1707/VeezMusic,2021,389,12,User,Python,1909,python:3.9.7-slim-buster,python
ankithu/mrover-workspace,2020,4001,68,User,Vue,117390,nvidia/cuda:10.0-devel-ubuntu18.04,nvidia/cuda
MrPaulBlack/searxng,2021,2911,79,User,Python,13797,alpine:3.14,alpine
vamshipv/ConsumerMicroservice,2021,765,17,User,C#,21,base,base
ubc/jupyter-canvas-api,2021,2596,40,Organization,Python,19724,debian:buster-slim,debian
carck/photoprism,2021,124,3,User,Go,80119,photoprism/development:20210602,photoprism/development
thearifismail/insights-host-inventory,2021,520,13,User,Python,3826,registry.access.redhat.com/ubi8/python-38,registry.access.redhat.com/ubi8/python-38
moevm/mse_auto_checking_slides_vaganov,2021,591,19,Organization,Python,9871,ubuntu:20.04,ubuntu
mrc-ide/hint,2020,356,9,Organization,TypeScript,52064,openjdk:8u121,openjdk
Kladdy/web,2021,127,7,User,CSS,10357,node:13-alpine,node
vector-im/element-web,2021,1245,20,Organization,TypeScript,83542,nginx:alpine,nginx
vector-im/hydrogen-web,2021,226,8,Organization,JavaScript,18569,docker.io/nginx:alpine,docker.io/nginx
KNaiskes/books-swapping,2021,159,6,User,Python,92,python:3,python
hyperbolic2346/cudf,2020,2836,64,User,C++,92562,nvidia/cuda:${CUDA_VERSION}-devel-${LINUX_VERSION},nvidia/cuda
stream-stack/operator,2021,776,14,Organization,Go,96,gcr.io/distroless/static:nonroot,gcr.io/distroless/static
Rhysn/Run_JDScripts_Docker,2021,1365,27,User,Shell,979,ubuntu:20.04,ubuntu
asuszenfone1567/StyleGAN3,2021,362,4,User,Python,595,tensorflow/tensorflow:1.14.0-gpu-py3,tensorflow/tensorflow
asuszenfone1567/StyleGAN2,2021,362,4,User,Python,595,tensorflow/tensorflow:1.14.0-gpu-py3,tensorflow/tensorflow
ocean-data-factory-sweden/koster_data_management,2021,1017,20,Organization,Python,1886,python:3.6-slim,python
BillRaymond/agile-in-action-podcast-website,2021,134,5,User,HTML,513054,jekyll/jekyll:latest,jekyll/jekyll
BillRaymond/agile-in-action-podcast-repo,2021,134,5,User,SCSS,517238,jekyll/jekyll:latest,jekyll/jekyll
runcitadel/manager,2021,1030,17,Organization,TypeScript,9074,node:16-buster-slim,node
UKHomeOffice/hocs-workflow,2021,529,19,Organization,Java,2843,quay.io/ukhomeofficedigital/alpine:v3.13,quay.io/ukhomeofficedigital/alpine
UKHomeOffice/workflow-service,2021,208,7,Organization,Groovy,650,quay.io/ukhomeofficedigital/jre:latest,quay.io/ukhomeofficedigital/jre
UKHomeOffice/hocs-casework,2021,877,26,Organization,Java,2812,quay.io/ukhomeofficedigital/alpine:v3.14,quay.io/ukhomeofficedigital/alpine
UKHomeOffice/hocs-info-service,2021,540,19,Organization,Java,1876,quay.io/ukhomeofficedigital/alpine:v3.13,quay.io/ukhomeofficedigital/alpine
UKHomeOffice/workflow-ui,2021,205,7,Organization,JavaScript,1605,quay.io/ukhomeofficedigital/jre:latest,quay.io/ukhomeofficedigital/jre
UKHomeOffice/hocs-frontend,2021,308,14,Organization,JavaScript,6120,node:14.18.0-alpine,node
UKHomeOffice/hocs-serenity-automation,2018,118,5,Organization,Java,173799,quay.io/ukhomeofficedigital/java8-mvn,quay.io/ukhomeofficedigital/java8-mvn
UKHomeOffice/asl-internal-ui,2021,594,15,Organization,JavaScript,7369,quay.io/ukhomeofficedigital/asl-base:v14,quay.io/ukhomeofficedigital/asl-base
UKHomeOffice/firearms,2021,742,16,Organization,JavaScript,2587,node:14-alpine@sha256:5c33bc6f021453ae2e393e6e20650a4df0a4737b1882d389f17069dc1933fdc5,node
UKHomeOffice/drt-analytics,2020,818,16,Organization,Scala,77,openjdk:8-jre-alpine,openjdk
UKHomeOffice/gro,2021,742,16,Organization,Gherkin,2080,node:14-alpine@sha256:5c33bc6f021453ae2e393e6e20650a4df0a4737b1882d389f17069dc1933fdc5,node
UKHomeOffice/modern-slavery,2021,742,16,Organization,JavaScript,4483,node:14-alpine@sha256:5c33bc6f021453ae2e393e6e20650a4df0a4737b1882d389f17069dc1933fdc5,node
planetarium/NineChronicles,2021,1055,30,Organization,C#,989458,bitnami/minideb:stretch,bitnami/minideb
planetarium/NineChronicles.Headless,2021,1448,30,Organization,C#,2615,mcr.microsoft.com/dotnet/core/aspnet:3.1,mcr.microsoft.com/dotnet/core/aspnet
not-a-dev0/barong,2018,1382,19,User,Ruby,1640,ruby:2.5.3,ruby
apeixinho/docker-mailserver,2021,12790,194,User,Shell,3898,docker.io/debian:buster-slim,docker.io/debian
simphony/osp-core,2021,380,12,Organization,Python,2827,ubuntu:18.04,ubuntu
terascope/teraslice,2021,915,25,Organization,TypeScript,419683,terascope/node-base:14.17.6,terascope/node-base
passwall/passwall-server,2021,770,20,Organization,Go,1716,alpine:latest,alpine
elifesciences/journal,2019,1053,26,Organization,PHP,20692,elifesciences/php_7.1_fpm:${php_version},elifesciences/php_7.1_fpm
elifesciences/pattern-library,2018,175,4,Organization,JavaScript,5806,nginx:1.15.0-alpine,nginx
elifesciences/sciencebeam-parser,2021,4330,98,Organization,Python,615,base,base
findlay-forsblom/sentry-cli-docker,2021,372,9,User,Dockerfile,4,ubuntu:16.04,ubuntu
apizzimenti/districtr,2019,199,8,User,JavaScript,757547,nginx:alpine,nginx
nossas/bonde-components,2020,104,4,Organization,TypeScript,3225,nginx,nginx
