repo_name,smell_code,type,level,year,file_size,loc,owner_type,language,size
ms-jpq/chadtree,DL3008,DL,warning,2021,403,9,User,Python,26195
ms-jpq/vim.bench,DL3027,DL,warning,2021,886,29,User,Python,5970
ms-jpq/vim.bench,DL4006,DL,warning,2021,886,29,User,Python,5970
ms-jpq/vim.bench,DL3027,DL,warning,2021,886,29,User,Python,5970
ms-jpq/vim.bench,DL4006,DL,warning,2021,886,29,User,Python,5970
ms-jpq/auto-github-push,DL3018,DL,warning,2020,80,4,User,Python,226
ms-jpq/nodebook-docker,DL4006,DL,warning,2020,605,15,User,Dockerfile,165
ms-jpq/docker-time-machine,DL3027,DL,warning,2020,785,24,User,Shell,1510
ms-jpq/docker-time-machine,DL3027,DL,warning,2020,785,24,User,Shell,1510
Dallinger/Dallinger,DL3013,DL,warning,2021,3315,47,Organization,Python,14426
Dallinger/Dallinger,DL3008,DL,warning,2021,3315,47,Organization,Python,14426
Dallinger/Dallinger,DL3042,DL,warning,2021,3315,47,Organization,Python,14426
Dallinger/Dallinger,DL3008,DL,warning,2021,3315,47,Organization,Python,14426
Dallinger/Dallinger,DL3042,DL,warning,2021,3315,47,Organization,Python,14426
Dallinger/Dallinger,DL3013,DL,warning,2021,3315,47,Organization,Python,14426
Dallinger/Dallinger,DL3042,DL,warning,2021,3315,47,Organization,Python,14426
Dallinger/Dallinger,DL3042,DL,warning,2021,3315,47,Organization,Python,14426
Dallinger/Dallinger,DL3025,DL,warning,2021,3315,47,Organization,Python,14426
Dallinger/Dallinger,DL3027,DL,warning,2021,3315,47,Organization,Python,14426
Dallinger/Dallinger,DL4006,DL,warning,2021,3315,47,Organization,Python,14426
venueless/venueless,DL3008,DL,warning,2021,1990,60,Organization,Python,6338
venueless/venueless,DL4006,DL,warning,2021,1990,60,Organization,Python,6338
venueless/venueless,DL3042,DL,warning,2021,1990,60,Organization,Python,6338
venueless/venueless,DL3013,DL,warning,2021,1990,60,Organization,Python,6338
venueless/venueless,DL3003,DL,warning,2021,1990,60,Organization,Python,6338
avoidik/fulcio,DL3020,DL,error,2021,1398,15,User,None,537
avoidik/fulcio,DL3020,DL,error,2021,1398,15,User,None,537
avoidik/cosign,DL3006,DL,warning,2021,744,6,User,None,15663
gursewak1997/coreos-assembler,DL3007,DL,warning,2021,1021,16,User,Go,64529
jarvis-network/synthereum,DL3018,DL,warning,2021,3933,57,Organization,TypeScript,42478
